HUNDRED_BLOCK,INCIDENT_TYPE,MONTH,YEAR,Latitude,Longitude
72ND AVE / 152ND ST,Fatal/Injury Collision,1,2011,49.1481747,-122.8680774
FRASER HWY / 88TH AVE,Fatal/Injury Collision,1,2011,49.144554,-122.834541
123A ST / 96TH AVE,Fatal/Injury Collision,1,2011,49.0529744,-122.8166574
188TH ST / 56TH AVE,Fatal/Injury Collision,1,2011,49.1991867,-122.8824131
88TH AVE / 128TH ST,Fatal/Injury Collision,1,2011,49.1746667,-122.845944
58TH AVE / 132ND ST,Fatal/Injury Collision,1,2011,49.1787918,-122.6960328
121ST ST / 66TH AVE,Fatal/Injury Collision,1,2011,49.1908501,-122.7783601
64TH AVE / 184TH ST,Fatal/Injury Collision,1,2011,49.0329331,-122.8012662
156TH ST / 20TH AVE,Fatal/Injury Collision,1,2011,49.1989026,-122.8487967
176A ST / 56TH AVE,Fatal/Injury Collision,1,2011,49.170118,-122.795701
105A AVE / UNIVERSITY DR,Fatal/Injury Collision,1,2011,49.1118694,-122.848353
KING GEORGE BLVD / 104A AVE,Fatal/Injury Collision,1,2011,49.1851527,-122.7482673
76A AVE / 128TH ST,Fatal/Injury Collision,1,2011,49.1916877,-122.8481009
KING GEORGE BLVD / BOLIVAR CRES,Fatal/Injury Collision,1,2011,49.1300094,-122.6838477
24TH AVE / 160TH ST,Fatal/Injury Collision,1,2011,49.198853,-122.839631
120TH ST / 96TH AVE,Fatal/Injury Collision,1,2011,49.1771103,-122.8693067
164TH ST / FRASER HWY,Fatal/Injury Collision,1,2011,49.1335059,-122.701657
UNIVERSITY DR / 102ND AVE,Fatal/Injury Collision,1,2011,49.1557438,-122.7747112
120TH ST / 92A AVE,Fatal/Injury Collision,1,2011,49.1191172,-122.8009159
180TH ST / 56TH AVE,Fatal/Injury Collision,1,2011,49.1505617,-122.8063762
80TH AVE / KING GEORGE BLVD,Fatal/Injury Collision,1,2011,49.1765485,-122.7348644
