HUNDRED_BLOCK,INCIDENT_TYPE,MONTH,YEAR
96TH AVE / KING GEORGE BLVD,Fatal/Injury Collision,1,2011
SOUTH FRASER WAY / TANNERY RD,Fatal/Injury Collision,1,2011
80TH AVE / 120TH ST,Fatal/Injury Collision,1,2011
64TH AVE / 144TH ST,Fatal/Injury Collision,1,2011
102ND AVE / KING GEORGE BLVD,Fatal/Injury Collision,1,2011
128TH ST / 68TH AVE,Fatal/Injury Collision,1,2011
133A ST / 88TH AVE,Fatal/Injury Collision,1,2011
140TH ST / FRASER HWY,Fatal/Injury Collision,1,2011
132ND ST / 68TH AVE,Fatal/Injury Collision,1,2011
60TH AVE / 163RD ST,Fatal/Injury Collision,1,2011
176TH ST / 60TH AVE,Fatal/Injury Collision,1,2011
140TH ST / 64TH AVE,Fatal/Injury Collision,1,2011
KING GEORGE BLVD / 70A AVE,Fatal/Injury Collision,1,2011
192ND ST / 64TH AVE,Fatal/Injury Collision,1,2011
152A ST / 102A AVE,Fatal/Injury Collision,1,2011
KING GEORGE BLVD / 88TH AVE,Fatal/Injury Collision,1,2011
152ND ST / 76TH AVE,Fatal/Injury Collision,1,2011
8700 BLK / 161ST ST,Fatal/Injury Collision,1,2011
105A AVE / KING GEORGE BLVD,Fatal/Injury Collision,1,2011
60TH AVE / 150TH ST,Fatal/Injury Collision,1,2011
KING GEORGE BLVD / 73RD AVE,Fatal/Injury Collision,1,2011
16TH AVE / 152ND ST,Fatal/Injury Collision,1,2011
152ND ST / KING GEORGE BLVD,Fatal/Injury Collision,1,2011
64TH AVE / KING GEORGE BLVD,Fatal/Injury Collision,1,2011
